scenario,site,window,beta,functional_ceiling_pct,threshold_count_both_feasible,mean_area_inflation_pct_points,median_area_inflation_pct_points,max_area_inflation_pct_points,A_mean_mean,A_mean_gini
baseline,DBO1,1993_1997,0.5,81.7122766595148,16,8.901432913590966,7.5119409465914,21.667390360399473,0.6357447613792907,0.1493734575291918
baseline,DBO1,2009_2013,0.5,82.64992028746269,16,8.388514980460268,6.752062527138514,22.101606600086843,0.6523508744475756,0.1459316443347817
baseline,DBO1,2012_2016,0.5,78.53370140575322,15,10.0825010855406,9.075119409465914,23.27399044724272,0.5714089410543457,0.1427600935970188
baseline,DBO1,2017_2020,0.5,63.189721113691746,12,18.732812273845706,17.998263135041256,37.472861485019536,0.2690975613491461,0.2457339431854217
baseline,DBO4,2007_2011,0.5,59.11352178011738,11,19.89995650282732,17.30462519936204,46.33173843700159,0.1906017792663403,0.3232160436191629
baseline,DBO4,2009_2013,0.5,60.86680571672268,12,20.401382243487507,16.866028708133975,51.19617224880384,0.2243880795965125,0.2862919809859603
baseline,DBO4,2012_2016,0.5,63.482512170460566,12,17.829611908559276,15.111642743221687,42.74322169059011,0.2614156564712568,0.230087455821693
baseline,DBO4,2016_2020,0.5,57.60827939458101,11,20.400173988690735,17.783094098883574,47.76714513556619,0.1507145399817715,0.4207341973120604
distance_narrow_10_40,DBO1,1993_1997,0.5,81.23970511216997,16,9.110399478940511,7.598784194528874,22.579244463742942,0.6262519787352002,0.1602697446675469
distance_narrow_10_40,DBO1,2009_2013,0.5,82.28781226516897,16,8.507924446374293,6.752062527138514,22.839774207555365,0.6444658862653404,0.1545115929918059
distance_narrow_10_40,DBO1,2012_2016,0.5,78.01048805371023,15,10.316977854971777,9.161962657403382,24.099001302648716,0.5612439443970135,0.155115095016757
distance_narrow_10_40,DBO1,2017_2020,0.5,62.60526184874674,12,19.257490230134607,18.454190186712985,38.60182370820668,0.2572928591569419,0.2507416629069945
distance_narrow_10_40,DBO4,2007_2011,0.5,58.39713659638248,11,20.24793388429752,17.543859649122805,47.60765550239234,0.1698407267256168,0.3406908265384798
distance_narrow_10_40,DBO4,2009_2013,0.5,60.11803327196921,12,20.972886762360446,17.145135566188195,54.465709728867616,0.2034890450701171,0.3064730889759626
distance_narrow_10_40,DBO4,2012_2016,0.5,62.644464046755445,12,18.44763423710792,15.629984051036683,44.33811802232855,0.2410659763017694,0.2435418203993995
distance_narrow_10_40,DBO4,2016_2020,0.5,56.86394745014237,11,20.972886762360446,18.181818181818183,49.84051036682615,0.1300777622550579,0.4390072422370386
